japanese,reading,english
あう,,encounter
ふこう,,unhappiness
ちょきんする,貯金する,save money
まいつき,,every month
きゅうりょう,,salary
そしき,組織,organization
すぎる,過ぎる,pass[time]
なれる,慣れる,get used to
くさる,腐る,[food] rot
このごろ,,"these days,‘最近’"
ねむ,,sleep
かこ,過去,past
かんりょう,完了,completion
やっと,,finally
しけん,試験,exam
いっしょうけんめい,一生懸命,very hard
きたい,期待,expectation
じつげん,実現,realization
のぞ,,wish
かなり,,"considerably, ‘頗~’"
ていど,程度,degree
あらわ,表,express
かならず,必ず,"without fail, by any means"
ていしゅつ,提出,submission
ようきゅう,要求,demand
ぎむ,義務,duty
ぜったいに,絶対に,"absolutely,どんなことがあっても"
こていけい,肯定形,affirmative form
ひていけい,否定形,negative form
さわる,触る,touch
やせる,痩せる,to lose weight
できるだけ,,as much as possible
ほとんど,,almost all
おおあめ,大雨,heavy rain
じゅうたく,住宅,residence
かんりにん,管理人,manager
していらっしゃいます,,be doing~ (respectful equivalent of しています)
すいえい,水泳,swimming
ちがう,違う,different
チャレンジする,,"challenge, give something a try"
あいだ,,during
やせる,痩せる,to lose weight
きもち,気持ち,"feeling, spirit, mood"
とおく,遠く,"far, remote place"
きんがん,近眼,nearsightedness
おおぜいの,大勢の,a great number of (people)
かんこうきゃく,観光客,tourist
おとず,訪,visit
きんちょう,緊張,tension
はこぶ,運ぶ,"carry, transport"
じこ,事故,accident
けがにん,けが人,injured person
